,cleaned_tweets,label
79,goodit allow participant countries benefit others term business infrastructure standard economy employment opportunitiesand able make one decision benefit themby using single currency currency world cant compete,1
80,planned brics currency going complement collapse trade west shall continue remain us china uk india south africa hungary etc purported currency would replace nonwestern countries trade example uae trading india uganda trading china lets take iran example iran completely sanctioned us allies circumvent sanctions operate network companies third countries help processing payments using currencies mix barter depend currency valuations locally countries works stopgap measure inefficient resulting long payment turnaround garnering distrust trading parties even iran westward trade still stopped using us dollars globally accepted even countries brics currency enters reserve market iran would able normalize trade nonwestern countries like russia indonesia china india vietnam saudi arabia egypt kenya etc nonwestern trade value chain become immune us sanctions since wont using anymore also planned brics currency rely swift parallel system developed right led russia india china integration individual banking systems common mega system founding members already place awaiting participant integration would happen countries banned trading cuba venezuela uganda extent north korea basically country wants plan b case given politics played since 2022 safely assume would every country outside political alliances therefore planned brics currency becomes global plan b ensure disruption trade even us imposes sanctions someone reason also going replace brics members local currencies would tied valuation real gold minerals oil gas precious items would convertible participating countries based material valuations,1
81,im actually starting agree also seems brics talks much west issues,1
82,xi refusing speak obvious brics left summit weaker came,-1
83,talk cheap,0
84,look r5 project,0
85,brics relevance practical world used negotiating platform west eg saudis keep saying join brics us doesnt give want,1
86,mean foreign currency make money,0
87,doesnt matter us think matters brics announces next week anything actually able us sit idly hands hoping brics currency war waged albeit war currently fought financial battlefield dedollarization started picking steam brics sco bri eaeu coordinating efforts possibly combining form largest trade partnership world saudi arabia granted brics membership refuses honor petrodollar commitment switching petroyuan game changer indeed time tell…it always,-1
88,personal believe im resolute opinion itll universal currency amongst brics based commodities gold value moved digitally new era moving fast sure brics going new big player world order 2030 ass,1
89,chance imo crumbling currencies like rubbles rand would destroy value operate fixed exchange rate believe brics would better holding yuan rupees cut economic disasters like sa rus would anyone want park assets basket includes russia south africa gold backing selling point better buying gold need trust tyrants like putin xi,1
90,fiat currency backed gold,1
91,doea anyone full pdf china brics setting different kitchen really want read book isnt available country,1
92,piece president sa doesnt deserve chief guest past indias republic dayhe allowed race people attack peaceful successful people indian origin fault sherr jealousy hard working successful,1
93,brics nations kick washington south america pepe escobar rt 23 may 2015 image © reuters sergio moraes russias president vladimir putin r argentinas president cristina fernandez de kirchner arrive official photo session brics summit started april rash deals argentina russia president cristina kirchners visit moscow continues 53 billion investment bang chinese premier li keqiang visits brazil first stop yet another south american commercial offensive complete sweet metaphor li riding made china subway train ply new metro line rio de janeiro ahead 2016 olympics us nowhere little little yet inexorably brics members china smaller measure russia less restructuring commerce infrastructure across latin america countless chinese commercial missions plying shores nonstop much us world war ii key meeting january latin american business leaders president xi jinping promised channel 250 billion infrastructure projects next 10 years top infrastructure projects latin america financed chinese capital except mariel port cuba whose financing comes brazils bndes whose operation managed singaporean port operator psa international pte ltd construction nicaragua canal bigger wider deeper panamas started last year hong kong firm finished 2019 argentina part clinched 47 billion chinese deal construction two hydroelectric dams patagonia among 35 deals clinched lis visit brazil financing worth 7 billion brazils oil giant petrobras 22 brazilian embraer commercial jets sold tianjin airlines 13 billion raft agreements involving top iron ore producer vale chinese investment might go way overhauling brazils appalling network roads railways ports airports slightly better condition due upgrades prior world cup last year star whole show undoubtedly proposed 30 billion 3500 kilometerlong atlanticpacific megarailway slated run brazilian port santos peruvian pacific port ilo via amazonia logistically must brazil offering pacific gateway winners inevitably commodity producers iron ore soya beans exporting asia mostly china atlanticpacific railway may extremely complex project involving everything environmental land rights issues crucially preference chinese firms every time chinese banks deliberate extending lines credit time go usual suspects else worried watch geopolitics official brazilian policy since lula years attract top chinese investment china brazils top trading partner since 2009 used us trend started food production moves investment ports railways next stage technology transfer brics new development bank chinaled asian infrastructure investment bank aiib brazil key founding member definitely part picture problem massive tradecommerce brics interplay intersecting quite convoluted political process top three south american powers brazil argentina venezuela also happen mercosur members facing repeated destabilization attempts usual suspects routinely denounce foreign policy presidents dilma rousseff cristina kirchner nicolas maduro yearn good ol days dependent relationship washington different degrees complexity internal strife brasilia buenos aires caracas simultaneously facing plots institutional order usual suspects dont even try dissimulate near total diplomatic distance south american top three venezuela us sanctions considered threat us national security something even qualify bad joke kirchner relentless diplomatic assault mention us vulture funds targeting argentina brasilia relations practically frozen since september 2013 rousseff suspended visit washington response nsa spying petrobras personally leads us crucial geostrategic issue far unresolved nsa spying may leaked sensitive information purpose destabilize brazilian development agenda includes case petrobras exploration largest oil deposits presalt found far young 21st century unraveling crucial brazil secondbiggest economy americas us biggest latin american commercial financial power hosts former secondbiggest development bank world bndes overtaken brics bank also hosts biggest corporation latin america petrobras also one worlds top energy giants hardcore pressure petrobras comes essentially us shareholders act like proverbial vultures bent bleeding company profit allied lobbyists abhor petrobrass status priority explorer presalt deposits nutshell brazil last great sovereign frontier unbounded hegemonic domination americas empire chaos annoyed ride continental wave constantly evolving strategic partnership brics nations met washington circles incredulity fear virtually impossible washington real damage china much easier comparatively case brazil russia even though washingtons wrath targets essentially china dared deal deal former americas backyard chinese strategy much russian keep calm carry winwin profile xi jinping met maduro january else deals met cristina kirchner february speculators unleash another attack argentine peso theres lis visit south america needless say trade south america china continues boom argentina exports food soya beans brazil plus oil minerals timber colombia sells oil minerals peru chile copper iron venezuela sells oil bolivia minerals china exports mostly highvalueadded manufactured products key development watch immediate future transul project first proposed brics conference last year rio boils brazilchina strategic alliance linking brazilian industrial development partial outsourcing metals china chinese increase demand building less 30 megalopolises 2030 met brazilian sinobrazilian companies beijing finally given seal approval longterm big picture remains inexorable brics south american nations converge unasur union south american nations betting multipolar world order continental process independence easy see oceans away monroe doctrine httpwwwsottnetarticle296803bricsnationstokickwashingtonoutofsouthamerica,-1
94,makes brics different current regime comes embracing worst abuses human rights us israel france worst countries world human rights abuses right afghanistan iran saudi arabia difference whose human rights abused,-1
95,us invaded vietnam syria give freedom lol brazil support brics dont think wester countries interfere problems dont interfere,1
96,treatment women least worries dont care women see mean recipe disaster well see point dedollarisation issue start getting terrorism fucked,-1
97,inclusion criteria brics based governance model potential member founders couldnt care whether youre democracy communist state monarchy clearly said several occasions group completely geoeconomicsbased focused trading boosting infrastructure projects thats two brics largest members continue grow parameter also three brics founders democracies another one recently joined another labeling extreme label talibanrun afghanistan crazy kimrun north korea reflects lack understanding societies operate part,1
98,dont believe human rights want stable currency,1
99,substantial sum money tied islamic bonds spread across asia pacific united states id curious know investments likely affected brics devaluing usd,1
100,deleted,0
101,brics always failed idea parroted bunch edgelords think understand economics failure brics evident putin cant even attend brics summit south africa literally threat arrest,-1
102,brics,0
103,concept partnership brics members build future cooperation li hui global research aug 29 2017 peoples daily link httpglobalresearchus11listmanagecomtrackclicku2cc48fb30f331d97157a65aa2iddb955d6a89e8c306a1a59 world casting eyes xiamen coastal city chinas fujian province host ninth brics summit themed “ deepening brics partnership opening brighter future ” early september “ brics ” since birth new concept evolved cooperative mechanism guided regular meeting leaders five emerging markets–brazil russia india china south africa mechanism also involves series exchanges dialogue activities including regular ministerial meetings business forums thinktank forums past decade brics bloc transformed concept entity strengthening dialogue deepening cooperation establishing new development bank ndb contingent reserve arrangement cra members result contributed much stimulating world economic growth reforming improving global economic governance boosting democratization international relations brics countries enjoy enormous potential cooperation since similar development phase share similar historical missions development objectives large population huge market highly complementary economies closer relationship among brics members would impact development world economic growth international order community shared interest first must established among brics countries belt road initiative proposed chinese president xi jinping 2013 recognized supported increasing number countries among russia active one xi russian counterpart vladimir putin signed joint statement docking silk road economic belt initiative eurasian economic union eaeu construction may 2015 moreover china brics partners also moving forward align development strategies regional cooperation plans chinas investment external cooperation production capacity tighten interest bonds brics members peoples giving boost infrastructure construction industry upgrade community actions set among well brics members influential nations region located share strong sense responsibility promote establishment global governance framework reflect new world political economic arena based principles multipolarity regular meetings leaders work platform brics nations could exchange views key international regional agendas joint actions could launched vindicate uns core status international affairs promote democratization international relations safeguard world peace development raising voice influence sending unified message five members played significant role improving global governance strengthening multilateralism community shared responsibility also built bloc todays world still faced rising trade protectionism hegemonism power politics brics countries duty safeguard common interests emerging markets developing economies terms climatic change reform international monetary fund counterterrorism transnational crime network security key agendas global governance big emerging markets global stakeholders brics nations responsibility ability providing rational solutions address global challenges well public goods international community premise properly handling domestic affairs li hui chinese ambassador russia article translated chinese originally published peoples daily,1
104,russias ultimate lethal weapon pepe escobar mar 18 2016 ich rt lets start classic russian politics finance minister anton siluanov drawing russias economic strategy 2016 including government budget siluanov – essentially liberal favor foreign investment present proposals kremlin end month far nothing spectacular days ago kommersant leaked russias security council asked presidential aide sergei glazyev come separate economic strategy presented council week exactly novelty russian security council past asked small strategy groups economic assessment security council led nikolai patrushev former head federal security service siluanov exactly wavelength heres plot thickens glazyev brilliant economist russian nationalist – sanctioned personally us glazyev arguably going holds barred favor barring russian companies using foreign currency makes sense taxing conversion rubles foreign currencies banning foreign loans russian firms depending us dollars euro – smoking gun requiring russian companies western loans default predictably sectors us ‘ think tankland went bonkers stating utmost certainty “ russian energy sector would able find much financing without connections west ” nonsense russian firms would easily find financing chinese japanese south korean sources whatever measure attention glazyev get inside kremlin whole episode already means moscow harbors illusions near future regarding exceptionalists one look presidential candidates ‘ el trumpissimo ‘ hillarator russian deputy foreign minister sergei ryabkov recently put expect toughening sanctions pressure thing though absolutely certain moscow wont bend backwards “ pacify ” washington neotsarism anyone one might tempted see glazyev drawing plans return sort tsarist selfsufficiency cutting ties west assuming version would approved kremlin whats certain may turn huge blow eu might recover imagine russia defaulting foreign debt 700 billion – western sanctions raised extra punitive costs terms repayment default would payback twin western manipulation oil prices ruble manipulation involved unleashing oil market five million barrels day excess reserve production held back usual suspects plus derivative manipulation nymex crashing price derivative manipulation ruble crashed currency almost imports russia virtually blocked – oil natural gas exports remained constant long run though create significant balance trade surplus russia positive factor longterm growth russias domestic industry vladimir yakunin former head russian railways due reshuffle recently told ap uncertain terms aim us sanctions cut russia economically europe sanctions coupled speculation oil ruble pushed russian economy recession 2015 yakunin like economicbusiness elite expect russias economic troubles last least 2017 currently products west needs russia oil natural gas possible russian default debt would effect demand shortterm probably longterm well unless would contribute new financial crisis west something nearly happened 1998 remember august 1998 russian default shook entire western financial system core russian default object serious consideration highest powers – includes course fsb svr gru specter mother financial crisis west back eu would fatal fault cant loot enter iran lifting sanctions iran – arguably early 2016 – ultimately nothing nuclear dossier ‘ pipelineistan great game everything oil natural gas us – eu – wet dream remains replace russia iran terms natural gas oil imports eu every serious analyst knows might take least decade 200 billion investment mention gazprom would fight formidable – commercial – weapons arsenal time western financial powers new yorklondon axis anticipate moscow would bow accept demands putin lay ukraine could loot ukraines mostly agricultural lands obviously didnt learn history putin also back stopped looting russia entire sorrowful kiev episode much infinite nato expansion gambit also attempt stop putin preventing western looting ukraine result tectonic geopolitical shift reconfiguration entire world balance power russia china deepened strategic partnership based mutual external threat coming mostly us eu accessories russian intelligence well knows alliance makes russia china invulnerable whereas separately could easily fall victim trademark divide rule counternato angle russia plenty time remilitarize focusing defensive offensive missiles key next major war obsolete us aircraft carriers russian defensive missiles stateoftheart s500 offensive topol ten mirvs easily neutralize whatever pentagon may store russia western financial ‘ masters universe went china allying russia usual financial suspects rigged chinese stock market attempt crash economy using wall street proxies manipulating cash settlement mechanisms first raise prices chinese shares creating giant boom reversing cash settlement rig crash market wonder beijing much aware happening massively intervened actively studying cash settlement moves carefully reviewing records major stock operators china round central bank suspects kremlins got something russian central bank russian central bank kept interest rates high forcing russian oil natural gas producers finance operations western sources thereby plunging russian economy debt trap loans russia part new yorklondon financier axis control mechanism moscow “ disobey ” west west would call loans crashing ruble making repayment almost impossible iran mechanism west – institutions imf world bank bis whole gang – rule beijing moving either complement replace setup new democratic international institutions russian central bank operated sounder principles would lent money interest rates wests linked loan productive investment modus operandi totally different us much central bank credit goes banks financiers speculative scams michael hudson among others already made case entire fed serves interest financial rulers give damn american industrial infrastructure progressively shifted colonies andor vassals well china ‘ masters universe thought hardcore pressure russia china would work reasons alarmed ‘ masters universe keep raising ante higher higher scenario ahead spells russia moving east simultaneously moving extricate wests institutional architecture merger chinadriven new silk roads aka one belt one road russialed eurasian economic union although slow full pitfalls irreversible mutual interest invest develop paneurasian emporium iranian natural gas go mostly asian part eurasia eu chinese economy least triple next fifteen years us continues deindustrialize whatever putin obama discuss possible meeting end month new york exceptionalist pressure bear wont abate pays bear keep lethal financial weapon storage httpwwwinformationclearinghouseinfoarticle44466htm,-1
105,russia china counterbalance rothschilds us federal reserve hegemony pic 1 russias central bank shanghai cooperation organization sco brics brazil russia india china south africa allowing china russia take advantage shifting global economic interests successfully counterbalance rothschild us hegemony shanghai cooperation organization sco brics transformed two influential political organizations prospect becoming alternative usled global system according stratfor nwos ‘ stratfor strategic forecasting russia united states pic 2 rothschild calling goons crony capitalist aka ‘ keynesian economics summit plots free capitalist markets “ ultimately forums enable russia china promote individual regional interests combined interest countering us dominance international system ” stratfors analysts pointed pic 3 gold russia analysts stressed beijing steered sco “ toward economic grouping ” moscow highlighted forums “ political role ” “ pushed greater security cooperation ” furthermore including india pakistan sco expanded organization may create economic space could “ theoretically ” compete eu us diminishing economic leverage namely sanctions dollardominated oil market pic 4 saudi arabia hand brics established use opportunity shifting global economic investment interests prospect become viable alternative rothschild usled global financial architecture analysts noted regardless certain economic obstacles faced emerging powers brics recent decade group makes 2030 percent global gdp crash heard round world saudi arabia ends kissinger usd ‘ petrodollar sole oil payments meanwhile “ crisis eurozone instability ukraine disputes south china sea moscow beijing see need opportunity erode us influence building respective strengths cooperation ” stratfor report stated analysts also pointed fact brics members launched new development bank initial capitalization 100 billion “ beijing sees brics bank yet another tool along asian infrastructure investment bank pick away usdominated financial system financial system relatively isolated west sanctions moscow sees development alternative institutions imperative time ” stratfor report elaborated china russia ending wests military complex used nwo expansionism noted western experts admit latest summit ufa obviously marked transformation old world order new multipolar reality pic 5 brics “ brics bolstered institutions intended operate parallel usled order created bretton woods 1944 ” cynthia roberts associate professor political science hunter college cuny city university new york pointed west anxiously watching gradual development sco brics “ meaningful ” organizations sinorussian ties strengthening eliminating last remnants distrust pic 6 chinaderivatives httppoliticalvelcraftorg20150713russiachinacounterbalancerothschildsusfederalreservehegemony,1
106,forex etf foreign exchange buy currency idea usd strong currency use currency buy weak currency cheap eventually becomes strong currency make money,1
107,way things going think currencies british pound euro yen etc move right away reliance dollar start building andor increasing reserves gold silver commodities probably create shit storm us definitely think best move world really think us screwed,1
108,well china may key player httpsforeignpolicycom20230622bricssummitbrazilrussiaindiachinasouthafricaputinnonalignmentglobalsouthhttpsforeignpolicycom20230622bricssummitbrazilrussiaindiachinasouthafricaputinnonalignmentglobalsouth meeting couple days 15th meeting,1
109,really hope getting true multipolar world even means working russians think worth,1
110,good start break cycle capitalism ruining globe,1
111,piece president sa doesnt deserve chief guest past indias republic dayhe allowed race people attack peaceful successful people indian origin fault sherr jealousy hard working successful,1
112,emergence great eurasia looming background declining west vladimir nesterov saturday july 11 2015 one superpower dominated world becoming thing past right front eyes old international institutions decline take world trade organization wto european union eu mired crisis degrading organization security cooperation europe osce far intense discussions united nations organization reform nothing shooting breeze united states already seen heyday still going strong military economic political potential states breathing neck china surpassed us terms gdp based purchasing power parity ppp cooperation among brics members rise shanghai cooperation organization expanding india pakistan way membership greece homeland democracy become weakest link european union fact serves emphasize degeneration western democracies samesex marriages shaky foundations national states built united states starts look like world war ii battle ship large hole hull waterline damage visible ship continues move formidable guns aimed enemy time goes battle ship losing speed starts go melting pot much spoken days bill clintons tenure effective anymore united states failed become united nation time approaches anglosaxons dont shoulder “ white mans burden anymore latinos taking dominant group happens united states become different country different culture perhaps different goals pursue today united states retreating leave behind hotbeds tension unfinished wars armed conflict ukraine never ending war middle east afghanistan iraq ruins – thats retreat results slow process degradation united states applying efforts create transatlantic trade investment partnership ttip bringing together golden bullion states part financial international time “ new right » “ new left » europe gaining strength insert significant changes plans washington financial international mentioned either try create new system unite nations go back idea common security space lisbon vladivostok united states considering transatlantic trade investment partnership project aimed cutting europe russia pushing russian federation deeper asia us shies away using term cold war regard current psychological informational standoff actually waging war fronts affirmation confirmed increasing strength capacity nato response force returning us army units europe stationing forces countries share borders russian federation deploying missile defense elements europe launching debates review intermediaterange nuclear forces treaty inf uk foreign secretary philip hammond said early june united kingdom could site american new nuclear missiles british soil amid heightened tensions russia end sight smouldering conflict ukraine matter attempts restore peace normandy four mission organization security cooperation europe danger sparking big war united states stepping one time “ european savior time nato forces would deployed along russian border baltics black sea scenario still imminent united states says “ yes ukraine joining nato situation inevitably exacerbate europes freedom action limited atlantic doctrine possibility war russia scary thats united states doesnt dare pull trigger far recent trip us state secretary john kerry sochi testifies fact washington ready uncontrolled escalation conflict clear antirussian sanctions run contrary european interests europe would happy lift sanctions save face best way reduce tensions donbass makes imperative government change kiev emphasizes importance cooperation within framework nonwestern interstate associations brics shanghai cooperation organization russia china special role play progress integration may lead emergence great eurasia large enclaves latin america south africa would create alternative euroatlantic domination may russia china agreed integrate eurasian economic union « silk road » economic project success shanghai cooperation organization brics summits taking place place time ufa events greatly contribute process vladimir nesterov scf httpwwwstrategiccultureorgnews20150711emergencegreateurasialoomingagainstbackgrounddecliningwesthtml,1
113,“ dedollarization ” iran russia planning establish joint bank global research october 13 2014 region middle east north africa russia fsu theme global economy fall dollar g20 finance ministers agenda iran russia plan establish joint bank effort multiply bilateral trade bypass sanctions islamic republics banking sector head iranrussia joint chamber commerce asadollah asgaroladi said tehran moscow studying possibilities opening new chapter trade relations could break domination western currencies bilateral exchanges “ since russian banks fear implications working iran due sanctions want establish joint iranrussia bank help central banks private sectors ” asgaroladi said “ bank would able exchange money two sides using rials rubles put aside dollars euros pounds ” added unilateral sanctions imposed irans banking sector us european union tehrans nuclear energy program recent western bans russia ukraine prompted two countries trade officials boost economic cooperation irans president hassan rouhani russian counterpart vladimir putin held four meetings different occasions iranian president took office 2013 “ responsible nations prosperity sanctions 150 billion euros deposits banks west europe sanctioned us transferred money countries exactly dont want ” asgaroladi said irans minister economy ali tayyebnia said islamic republic already traded partners exchange national currencies welcome plan establish joint bank russia “ im glad country less dependent several currencies process continue future ” tayyebnia said september iran russia agreed use national currencies bilateral trade httpwwwglobalresearchcadedollarizationiranrussiaplanningtoestablishjointbank5407736,1
